keys,en,es,pt_BR,fr,de,ru,tr
Sunny Grove,Sunny Grove,Arboleda soleada,Bosque ensolarado,Bosquet ensoleillé,Sonniger Hain,Солнечная роща,Güneşli Koru
Sunny Hollow,Sunny Hollow,Hondonada soleada,Vale ensolarado,Vallon ensoleillé,Sonnige Senke,Солнечная ложбина,Güneşli Oyuk
Sunny Ledge,Sunny Ledge,Cornisa soleada,Beirada ensolarada,Corniche ensoleillée,Sonniger Vorsprung,Солнечный уступ,Güneşli Çıkıntı
Sunny Passage,Sunny Passage,Pasaje soleado,Passagem ensolarada,Passage ensoleillé,Sonniger Durchgang,Солнечный проход,Güneşli Geçit
Surround the Sphere,Surround the Sphere,Rodea la esfera,Cerque a esfera,Entourez la sphère,Umringe die Kugel,Окружите шар,Küreyi Çevrele
Surrounded,Surrounded,Rodeado,Cercado,Encerclé,Umzingelt,В окружении,Kuşatılmış
The First Key,The First Key,La primera llave,A primeira chave,La première clé,Der erste Schlüssel,Первый ключ,İlk Anahtar
The Long Way Down,The Long Way Down,El largo descenso,A longa descida,La longue descente,Der lange Weg nach unten,Долгий путь вниз,Aşağıya Uzun Yol
The Upper Chamber,The Upper Chamber,La cámara superior,A câmara superior,La chambre haute,Die obere Kammer,Верхняя комната,Üst Oda
Through the Pipe,Through the Pipe,A través del tubo,Através do cano,À travers le tube,Durch das Rohr,Через трубу,Borunun İçinden
Tricky Crossing,Tricky Crossing,Cruce complicado,Travessia difícil,Croisée piégeuse,Kniffliger Übergang,Хитрый переход,Zorlu Geçit
Tricky Grove,Tricky Grove,Arboleda complicada,Bosque difícil,Bosquet piégeux,Kniffliger Hain,Хитрая роща,Zorlu Koru
Tricky Maze,Tricky Maze,Laberinto complicado,Labirinto difícil,Labyrinthe piégeux,Kniffliges Labyrinth,Хитрый лабиринт,Zorlu Labirent
Tricky Path,Tricky Path,Sendero complicado,Caminho difícil,Chemin piégeux,Kniffliger Pfad,Хитрая тропа,Zorlu Yol
Tricky Pocket,Tricky Pocket,Refugio complicado,Refúgio difícil,Refuge piégeux,Kniffliges Versteck,Хитрый тайник,Zorlu Cep
Tricky Tower,Tricky Tower,Torre complicada,Torre difícil,Tour piégeuse,Kniffliger Turm,Хитрая башня,Zorlu Kule
Twisted Bridge,Twisted Bridge,Puente retorcido,Ponte retorcida,Pont tordu,Gewundene Brücke,Извилистый мост,Kıvrımlı Köprü
Twisted Hollow,Twisted Hollow,Hondonada retorcida,Vale retorcido,Vallon tordu,Gewundene Senke,Извилистая ложбина,Kıvrımlı Oyuk
Twisted Keep,Twisted Keep,Fortaleza retorcida,Fortaleza retorcida,Donjon tordu,Gewundene Burg,Извилистая крепость,Kıvrımlı Kale
Twisted Pocket,Twisted Pocket,Refugio retorcido,Refúgio retorcido,Refuge tordu,Gewundenes Versteck,Извилистый тайник,Kıvrımlı Cep
Twisted Steps,Twisted Steps,Escalones retorcidos,Degraus retorcidos,Marches tordues,Gewundene Stufen,Извилистые ступени,Kıvrımlı Basamaklar
Wild Garden,Wild Garden,Jardín salvaje,Jardim selvagem,Jardin sauvage,Wilder Garten,Дикий сад,Yaban Bahçesi
Wild Grove,Wild Grove,Arboleda salvaje,Bosque selvagem,Bosquet sauvage,Wilder Hain,Дикая роща,Yaban Korusu
Wild Pocket,Wild Pocket,Refugio salvaje,Refúgio selvagem,Refuge sauvage,Wildes Versteck,Дикий тайник,Yaban Cebi
Wild Tower,Wild Tower,Torre salvaje,Torre selvagem,Tour sauvage,Wilder Turm,Дикая башня,Yaban Kulesi
Terrain,Terrain,Terreno,Terreno,Terrain,Gelände,Местность,Zemin türü
Floor,Floor,Suelo,Piso,Sol,Boden,Пол,Zemin
Wall,Wall,Muro,Parede,Mur,Mauer,Стена,Duvar
Brick wall,Brick wall,Muro de ladrillo,Parede de tijolos,Mur de briques,Ziegelmauer,Кирпичная стена,Tuğla duvar
Pipe frame wall,Pipe frame wall,Muro tubular,Parede de tubos,Paroi tubulaire,Rohrwand,Стена из труб,Boru çerçeveli duvar
Cracked wall,Cracked wall,Muro agrietado,Parede rachada,Mur fissuré,Rissige Mauer,Треснувшая стена,Çatlak duvar
Void (outside),Void (outside),Vacío (exterior),Vazio (exterior),Vide (extérieur),Leere (außen),Пустота (снаружи),Boşluk (dış alan)
Items,Items,Piezas,Peças,Pièces,Objekte,Предметы,Parçalar
Modifiers,Modifiers,Modificadores,Modificadores,Modificateurs,Eigenschaften,Модификаторы,Değiştiriciler
Goal flag (toggle),Goal flag (toggle),Objetivo (alternar),Alvo (alternar),Cible (activer/désactiver),Zielmarkierung umschalten,Переключить цель,Hedef işareti (aç/kapat)
Remove lock,Remove lock,Quitar candado,Remover cadeado,Retirer le cadenas,Schloss entfernen,Снять замок,Kilidi kaldır
Gravity: falls,Gravity: falls,Gravedad: cae,Gravidade: cai,Gravité : tombe,Schwerkraft: fällt,Гравитация: падает,Yerçekimi: düşer
Gravity: floats,Gravity: floats,Gravedad: flota,Gravidade: flutua,Gravité : monte,Schwerkraft: steigt,Гравитация: всплывает,Yerçekimi: yükselir
Gravity: stays,Gravity: stays,Gravedad: inmóvil,Gravidade: fica,Gravité : immobile,Schwerkraft: bleibt,Гравитация: на месте,Yerçekimi: sabit
Gravity: type default,Gravity: type default,Gravedad: predeterminada,Gravidade: padrão do tipo,Gravité : selon le type,Schwerkraft: Standard,Гравитация: по типу,Yerçekimi: tür varsayılanı
Teleports & pipes,Teleports & pipes,Portales y tubos,Teleportes e tubos,Téléporteurs et tubes,Teleports und Rohre,Телепорты и трубы,Işınlayıcılar ve borular
Teleport,Teleport,Teletransporte,Teleporte,Téléporteur,Teleport,Телепорт,Işınlayıcı
"Link (source, then target)","Link (source, then target)",Enlazar (origen y destino),Vincular (origem e destino),Relier (source puis cible),"Verbinden (Start, dann Ziel)","Связать (начало, затем цель)","Bağla (önce kaynak, sonra hedef)"
Other,Other,Otros,Outros,Autres,Sonstiges,Прочее,Diğer
Eraser,Eraser,Borrador,Borracha,Gomme,Radierer,Ластик,Silgi
Two-way links,Two-way links,Enlaces bidireccionales,Vínculos bidirecionais,Liaisons bidirectionnelles,Beidseitige Verbindungen,Двусторонние связи,Çift yönlü bağlantılar
Lock color: %s,Lock color: %s,Color del candado: %s,Cor do cadeado: %s,Couleur du cadenas : %s,Schlossfarbe: %s,Цвет замка: %s,Kilit rengi: %s
"Pipe, opening %s","Pipe, opening %s","Tubo, abertura: %s","Tubo, abertura: %s","Tube, ouverture : %s",Rohröffnung: %s,"Труба, отверстие: %s","Boru, açıklık yönü: %s"
up,up,arriba,cima,haut,oben,вверх,yukarı
right,right,derecha,direita,droite,rechts,вправо,sağ
down,down,abajo,baixo,bas,unten,вниз,aşağı
left,left,izquierda,esquerda,gauche,links,влево,sol
"Click a teleport or pipe, then click its destination. Click the source again to clear its link.","Click a teleport or pipe, then click its destination. Click the source again to clear its link.",Haz clic en un portal o tubo y luego en su destino. Repite el origen para quitar el enlace.,Clique em um teleporte ou tubo e depois no destino. Clique de novo na origem para remover o vínculo.,"Cliquez sur un téléporteur ou un tube, puis sur sa destination. Recliquez sur la source pour supprimer le lien.","Klicke auf Teleport oder Rohr, dann auf das Ziel. Erneut auf den Start klicken löst die Verbindung.","Нажмите на телепорт или трубу, затем на цель. Повторное нажатие на начало удаляет связь.","Bir ışınlayıcıya veya boruya, ardından hedefine tıkla. Bağlantıyı silmek için kaynağa tekrar tıkla."
Click an item to toggle its goal flag.,Click an item to toggle its goal flag.,Haz clic en una pieza para cambiar su marca de objetivo.,Clique em uma peça para alternar a marca de alvo.,Cliquez sur une pièce pour changer son statut de cible.,"Klicke auf ein Objekt, um seine Zielmarkierung umzuschalten.","Нажмите на предмет, чтобы переключить отметку цели.",Hedef işaretini açıp kapatmak için parçaya tıkla.
Click to clear a cell completely. (Right-click erases with any tool.),Click to clear a cell completely. (Right-click erases with any tool.),Haz clic para vaciar una casilla. El clic derecho borra con cualquier herramienta.,Clique para limpar uma casa. O botão direito apaga com qualquer ferramenta.,Cliquez pour vider une case. Le clic droit efface avec tous les outils.,Klicken leert ein Feld. Rechtsklick löscht mit jedem Werkzeug.,"Нажмите, чтобы очистить клетку. Правая кнопка стирает с любым инструментом.",Hücreyi tamamen temizlemek için tıkla. (Sağ tıklama her araçta siler.)
"Place a teleport, then use Link to connect it.","Place a teleport, then use Link to connect it.",Coloca un portal y usa Enlazar para conectarlo.,Coloque um teleporte e use Vincular para conectá-lo.,"Placez un téléporteur, puis utilisez Relier.",Platziere einen Teleport und verbinde ihn mit Verbinden.,"Разместите телепорт, затем соедините инструментом связи.","Bir ışınlayıcı yerleştir, ardından Bağla ile bağla."
Left-click: apply tool (drag to paint)  ·  Right-click: erase  ·  Ctrl+Z: undo,Left-click: apply tool (drag to paint)  ·  Right-click: erase  ·  Ctrl+Z: undo,Clic izquierdo: pintar  ·  Clic derecho: borrar  ·  Ctrl+Z: deshacer,Botão esquerdo: pintar  ·  Botão direito: apagar  ·  Ctrl+Z: desfazer,Clic gauche : peindre  ·  Clic droit : effacer  ·  Ctrl+Z : annuler,Linksklick: malen  ·  Rechtsklick: löschen  ·  Strg+Z: zurück,Левая кнопка: рисовать · Правая: стирать · Ctrl+Z: отмена,Sol tık: aracı uygula (boyamak için sürükle)  ·  Sağ tık: sil  ·  Ctrl+Z: geri al
Level,Level,Nivel,Fase,Niveau,Level,Уровень,Bölüm
Name,Name,Nombre,Nome,Nom,Name,Название,Ad
Move limit,Move limit,Límite de movimientos,Limite de jogadas,Limite de coups,Zuglimit,Лимит ходов,Hamle sınırı
Time (sec),Time (sec),Tiempo (s),Tempo (s),Temps (s),Zeit (Sek.),Время (сек.),Süre (sn)
Theme,Theme,Tema,Tema,Thème,Thema,Тема,Tema
World default,World default,Tema del mundo,Padrão do mundo,Thème du monde,Weltstandard,По миру,Dünya varsayılanı
File,File,Archivo,Arquivo,Fichier,Datei,Файл,Dosya
My levels (user://),My levels (user://),Mis niveles (user://),Minhas fases (user://),Mes niveaux (user://),Meine Level (user://),Мои уровни (user://),Bölümlerim (user://)
Project (res://levels/custom),Project (res://levels/custom),Proyecto (res://levels/custom),Projeto (res://levels/custom),Projet (res://levels/custom),Projekt (res://levels/custom),Проект (res://levels/custom),Proje (res://levels/custom)
Save,Save,Guardar,Salvar,Enregistrer,Speichern,Сохранить,Kaydet
Save as new,Save as new,Guardar como nuevo,Salvar como nova,Enregistrer une copie,Als neu speichern,Сохранить как новый,Yeni olarak kaydet
Load,Load,Cargar,Carregar,Charger,Laden,Загрузить,Yükle
New,New,Nuevo,Nova,Nouveau,Neu,Новый,Yeni
Clear,Clear,Limpiar,Limpar,Effacer,Leeren,Очистить,Temizle
Back to menu,Back to menu,Volver al menú,Voltar ao menu,Retour au menu,Zum Menü,В меню,Menüye dön
Editing: %s,Editing: %s,Editando: %s,Editando: %s,Édition : %s,Bearbeiten: %s,Редактирование: %s,Düzenleniyor: %s
new level,new level,nuevo nivel,nova fase,nouveau niveau,neues Level,новый уровень,yeni bölüm
Items can only be placed on floor.,Items can only be placed on floor.,Solo puedes colocar piezas en el suelo.,Só é possível colocar peças no piso.,Les pièces doivent être placées sur le sol.,Objekte können nur auf Boden platziert werden.,Предметы можно ставить только на пол.,Parçalar yalnızca zemine yerleştirilebilir.
Keys can't be locked.,Keys can't be locked.,Las llaves no se pueden bloquear.,Chaves não podem ser trancadas.,Les clés ne peuvent pas être verrouillées.,Schlüssel können nicht gesperrt werden.,Ключи нельзя блокировать.,Anahtarlar kilitlenemez.
Bombs always fall.,Bombs always fall.,Las bombas siempre caen.,Bombas sempre caem.,Les bombes tombent toujours.,Bomben fallen immer.,Бомбы всегда падают.,Bombalar her zaman düşer.
Pick a teleport or pipe first.,Pick a teleport or pipe first.,Primero elige un portal o tubo.,Primeiro escolha um teleporte ou tubo.,Choisissez d’abord un téléporteur ou un tube.,Wähle zuerst einen Teleport oder ein Rohr.,Сначала выберите телепорт или трубу.,Önce bir ışınlayıcı veya boru seç.
Now click the destination.,Now click the destination.,Ahora haz clic en el destino.,Agora clique no destino.,Cliquez maintenant sur la destination.,Klicke jetzt auf das Ziel.,Теперь нажмите на цель.,Şimdi hedefe tıkla.
Link cleared.,Link cleared.,Enlace eliminado.,Vínculo removido.,Lien supprimé.,Verbindung gelöscht.,Связь удалена.,Bağlantı silindi.
Teleports linked.,Teleports linked.,Portales enlazados.,Teleportes vinculados.,Téléporteurs reliés.,Teleports verbunden.,Телепорты связаны.,Işınlayıcılar bağlandı.
Pipes linked.,Pipes linked.,Tubos enlazados.,Tubos vinculados.,Tubes reliés.,Rohre verbunden.,Трубы связаны.,Borular bağlandı.
"Teleports link to teleports, pipes to pipes.","Teleports link to teleports, pipes to pipes.","Los portales se enlazan con portales, los tubos con tubos.","Teleportes se vinculam a teleportes; tubos, a tubos.",Reliez les téléporteurs entre eux et les tubes entre eux.,"Teleports mit Teleports verbinden, Rohre mit Rohren.","Телепорты связываются с телепортами, трубы — с трубами.","Işınlayıcılar ışınlayıcılara, borular borulara bağlanır."
Add at least one goal flag (Modifiers > Goal flag).,Add at least one goal flag (Modifiers > Goal flag).,Añade al menos un objetivo (Modificadores > Objetivo).,Adicione ao menos um alvo (Modificadores > Alvo).,Ajoutez au moins une cible (Modificateurs > Cible).,Setze mindestens eine Zielmarkierung unter Eigenschaften.,Добавьте хотя бы одну цель (Модификаторы > Переключить цель).,En az bir hedef işareti ekle (Değiştiriciler > Hedef işareti).
Warning: things explode/unlock as soon as the level starts.,Warning: things explode/unlock as soon as the level starts.,Aviso: habrá explosiones o desbloqueos al iniciar el nivel.,Aviso: haverá explosões ou desbloqueios ao iniciar a fase.,Attention : des explosions ou déverrouillages ont lieu dès le départ.,Achtung: Objekte explodieren oder werden beim Start entsperrt.,Внимание: предметы взрываются или открываются сразу после старта.,Uyarı: bölüm başlar başlamaz parçalar patlar veya kilitler açılır.
Saved to %s,Saved to %s,Guardado en %s,Salvo em %s,Enregistré dans %s,Gespeichert unter %s,Сохранено в %s,%s konumuna kaydedildi
Save failed: %s,Save failed: %s,Error al guardar: %s,Falha ao salvar: %s,Échec de l’enregistrement : %s,Speichern fehlgeschlagen: %s,Ошибка сохранения: %s,Kaydetme başarısız: %s
Loaded %s,Loaded %s,Cargado %s,Carregado %s,Chargé : %s,Geladen: %s,Загружено: %s,%s yüklendi
(read-only here: Save makes a copy),(read-only here: Save makes a copy),(solo lectura: Guardar crea una copia),(somente leitura: Salvar cria uma cópia),(lecture seule : Enregistrer crée une copie),(schreibgeschützt: Speichern erstellt eine Kopie),(только чтение: сохранение создаст копию),(burada salt okunur: Kaydet bir kopya oluşturur)
New level.,New level.,Nuevo nivel.,Nova fase.,Nouveau niveau.,Neues Level.,Новый уровень.,Yeni bölüm.
Cleared.,Cleared.,Limpiado.,Limpo.,Effacé.,Geleert.,Очищено.,Temizlendi.
Matching numbers identify pieces that can merge.,Matching numbers identify pieces that can merge.,Los números iguales indican piezas que pueden combinarse.,Números iguais identificam peças que podem se combinar.,Les mêmes numéros indiquent les pièces qui peuvent fusionner.,Gleiche Zahlen kennzeichnen kombinierbare Teile.,"Одинаковые числа обозначают фигуры, которые можно объединить.",Aynı numaralar birleşebilen parçaları gösterir.
cannot be moved by hand,cannot be moved by hand,no se puede mover manualmente,não pode ser movido manualmente,ne peut pas être déplacé à la main,kann nicht von Hand bewegt werden,нельзя перемещать вручную,elle taşınamaz
Bomb: falls; explodes beside destructible objects or when tapped,Bomb: falls; explodes beside destructible objects or when tapped,Bomba: cae; explota junto a objetos destructibles o al tocarla,Bomba: cai; explode perto de objetos destrutíveis ou ao tocar,Bombe : tombe ; explose près des objets destructibles ou au toucher,Bombe: fällt; explodiert neben zerstörbaren Objekten oder beim Antippen,Бомба: падает; взрывается рядом с разрушаемыми объектами или по нажатию,Bomba: düşer; kırılabilir nesnelerin yanında veya dokunulduğunda patlar
Pipe: enter through the opening to reach its linked landing cell,Pipe: enter through the opening to reach its linked landing cell,Tubo: entra por la abertura para llegar a su casilla de destino,Tubo: entre pela abertura para chegar à célula de destino,Tuyau : entrez par l’ouverture pour atteindre la case de destination,Rohr: durch die Öffnung zur verbundenen Zielzelle gelangen,"Труба: войдите в отверстие, чтобы попасть в связанную клетку",Boru: bağlı olduğu hücreye ulaşmak için açıklıktan gir
Surround an item with 4 items of one other group: all 5 explode,Surround an item with 4 items of one other group: all 5 explode,Rodea una pieza con 4 de otro grupo: las 5 explotan,Cerque uma peça com 4 de outro grupo: todas as 5 explodem,Entourez une pièce de 4 pièces d’un autre groupe : les 5 explosent,Ein Teil mit 4 Teilen einer anderen Gruppe umgeben: alle 5 explodieren,Окружите фигуру четырьмя фигурами другой группы: все пять взорвутся,Bir parçayı başka bir gruptan 4 parçayla çevrele: 5'i de patlar
Alien tree,Alien tree,Árbol alienígena,Árvore alienígena,Arbre extraterrestre,Außerirdischer Baum,Инопланетное дерево,Uzaylı Ağacı
Atari Üz I,Atari Üz I,Atari Üz I,Atari Üz I,Atari Üz I,Atari Üz I,Atari Üz I,Atari Üz I
Atari Üz II,Atari Üz II,Atari Üz II,Atari Üz II,Atari Üz II,Atari Üz II,Atari Üz II,Atari Üz II
Atari Üz III,Atari Üz III,Atari Üz III,Atari Üz III,Atari Üz III,Atari Üz III,Atari Üz III,Atari Üz III
Ball Factory I,Ball Factory I,Fábrica de bolas I,Fábrica de bolas I,Usine de boules I,Kugelfabrik I,Фабрика шаров I,Top Fabrikası I
Ball Factory II,Ball Factory II,Fábrica de bolas II,Fábrica de bolas II,Usine de boules II,Kugelfabrik II,Фабрика шаров II,Top Fabrikası II
Ball Factory III,Ball Factory III,Fábrica de bolas III,Fábrica de bolas III,Usine de boules III,Kugelfabrik III,Фабрика шаров III,Top Fabrikası III
Bomb Threat,Bomb Threat,Amenaza de bomba,Ameaça de bomba,Menace de bombe,Bombendrohung,Угроза взрыва,Bomba Tehdidi
Building Bridges,Building Bridges,Construyendo puentes,Construindo pontes,Construire des ponts,Brücken bauen,Строим мосты,Köprü Kurmak
Cloud 9,Cloud 9,En las nubes,Nas nuvens,Au septième ciel,Wolke sieben,На седьмом небе,Bulutların Üstünde
Coastal Finale,Coastal Finale,Final costero,Final costeiro,Finale côtière,Küstenfinale,Прибрежный финал,Sahil Finali
Complications,Complications,Complicaciones,Complicações,Complications,Komplikationen,Осложнения,Karmaşa
Confinement III,Confinement III,Confinamiento III,Confinamento III,Confinement III,Gefangenschaft III,Заточение III,Hapis III
Confinement IV,Confinement IV,Confinamiento IV,Confinamento IV,Confinement IV,Gefangenschaft IV,Заточение IV,Hapis IV
Corner Connection,Corner Connection,Conexión de esquinas,Conexão de cantos,Connexion des coins,Eckverbindung,Угловое соединение,Köşe Bağlantısı
Corridor Corner,Corridor Corner,Esquina del pasillo,Canto do corredor,Coin du couloir,Flurecke,Поворот коридора,Koridor Köşesi
Crossover,Crossover,Cruce,Cruzamento,Croisement,Kreuzung,Пересечение,Kesişme
Downward Despair,Downward Despair,Descenso desesperado,Descida desesperada,Descente désespérée,Verzweifelter Abstieg,Отчаянный спуск,Umutsuz İniş
Dropoff,Dropoff,Caída,Queda,Chute,Absturz,Обрыв,Düşüş
Empire Crisis II,Empire Crisis II,Crisis del imperio II,Crise do império II,Crise de l’empire II,Imperiumskrise II,Кризис империи II,İmparatorluk Krizi II
Empire Crisis III,Empire Crisis III,Crisis del imperio III,Crise do império III,Crise de l’empire III,Imperiumskrise III,Кризис империи III,İmparatorluk Krizi III
FILA(tm),FILA(tm),FILA(tm),FILA(tm),FILA(tm),FILA(tm),FILA(tm),FILA(tm)
Fighting gravity,Fighting gravity,Contra la gravedad,Contra a gravidade,Contre la gravité,Gegen die Schwerkraft,Борьба с гравитацией,Yerçekimine Karşı
Flood,Flood,Inundación,Inundação,Inondation,Überschwemmung,Наводнение,Sel
Forbidden Touch,Forbidden Touch,Contacto prohibido,Toque proibido,Contact interdit,Verbotene Berührung,Запретное касание,Yasak Dokunuş
Foresight,Foresight,Previsión,Previsão,Prévoyance,Weitsicht,Предвидение,Öngörü
Forest Frenzy,Forest Frenzy,Frenesí forestal,Frenesi na floresta,Folie forestière,Waldwirbel,Лесной переполох,Orman Çılgınlığı
Four of a kind,Four of a kind,Cuatro iguales,Quatro iguais,Quatre identiques,Vier Gleiche,Четыре одинаковых,Aynı Türden Dört
Friendly Forest,Friendly Forest,Bosque amistoso,Floresta amigável,Forêt accueillante,Freundlicher Wald,Дружелюбный лес,Dost Orman
Gravity Multipuzzle,Gravity Multipuzzle,Rompecabezas de gravedad,Enigmas de gravidade,Énigmes de gravité,Schwerkrafträtsel,Гравитационные головоломки,Yerçekimi Bulmacaları
Great Potential,Great Potential,Gran potencial,Grande potencial,Grand potentiel,Großes Potenzial,Большой потенциал,Büyük Potansiyel
Head in the Clouds,Head in the Clouds,Cabeza en las nubes,Cabeça nas nuvens,La tête dans les nuages,Kopf in den Wolken,Витать в облаках,Başım Bulutlarda
Hell On The Beach,Hell On The Beach,Infierno en la playa,Inferno na praia,Enfer sur la plage,Hölle am Strand,Ад на пляже,Sahilde Cehennem
Inclined to Death,Inclined to Death,Pendiente mortal,Inclinação mortal,Pente mortelle,Tödliche Neigung,Смертельный уклон,Ölümcül Eğim
Industrial Dilemma I,Industrial Dilemma I,Dilema industrial I,Dilema industrial I,Dilemme industriel I,Industrielles Dilemma I,Промышленная дилемма I,Endüstriyel Çıkmaz I
Industrial Dilemma II,Industrial Dilemma II,Dilema industrial II,Dilema industrial II,Dilemme industriel II,Industrielles Dilemma II,Промышленная дилемма II,Endüstriyel Çıkmaz II
Industrial Dilemma III,Industrial Dilemma III,Dilema industrial III,Dilema industrial III,Dilemme industriel III,Industrielles Dilemma III,Промышленная дилемма III,Endüstriyel Çıkmaz III
Intermission,Intermission,Intermedio,Intervalo,Entracte,Zwischenspiel,Антракт,Mola
Intersections,Intersections,Intersecciones,Interseções,Intersections,Schnittpunkte,Перекрёстки,Kesişimler
Kaleidoscope,Kaleidoscope,Caleidoscopio,Caleidoscópio,Kaléidoscope,Kaleidoskop,Калейдоскоп,Kaleydoskop
Key Kontrol,Key Kontrol,Control de llaves,Controle de chaves,Contrôle des clés,Schlüsselkontrolle,Контроль ключей,Anahtar Kontrolü
Leapfrog,Leapfrog,Salto de rana,Pula-sela,Saute-mouton,Bockspringen,Чехарда,Birdirbir
Limited Movement,Limited Movement,Movimiento limitado,Movimento limitado,Mouvement limité,Begrenzte Bewegung,Ограниченное движение,Sınırlı Hareket
Metallic Misery,Metallic Misery,Miseria metálica,Miséria metálica,Misère métallique,Metallisches Elend,Металлическая тоска,Metalik Çile
Minefield,Minefield,Campo minado,Campo minado,Champ de mines,Minenfeld,Минное поле,Mayın Tarlası
Moon Lagoon,Moon Lagoon,Laguna lunar,Lagoa lunar,Lagune lunaire,Mondlagune,Лунная лагуна,Ay Lagünü
Moon Lagoon 2,Moon Lagoon 2,Laguna lunar 2,Lagoa lunar 2,Lagune lunaire 2,Mondlagune 2,Лунная лагуна 2,Ay Lagünü 2
Moon Lagoon 3,Moon Lagoon 3,Laguna lunar 3,Lagoa lunar 3,Lagune lunaire 3,Mondlagune 3,Лунная лагуна 3,Ay Lagünü 3
More troubling water,More troubling water,Más aguas turbulentas,Mais águas turbulentas,Eaux encore plus troubles,Noch unruhigeres Wasser,Ещё более бурные воды,Daha da Belalı Sular
One Way Struggle,One Way Struggle,Lucha de sentido único,Luta de mão única,Lutte à sens unique,Kampf ohne Rückweg,Борьба без возврата,Tek Yönlü Mücadele
Only Up,Only Up,Solo arriba,Só para cima,Toujours plus haut,Nur nach oben,Только вверх,Yalnızca Yukarı
Orbit I,Orbit I,Órbita I,Órbita I,Orbite I,Umlaufbahn I,Орбита I,Yörünge I
Orbit II,Orbit II,Órbita II,Órbita II,Orbite II,Umlaufbahn II,Орбита II,Yörünge II
Orbit III,Orbit III,Órbita III,Órbita III,Orbite III,Umlaufbahn III,Орбита III,Yörünge III
Outpost I,Outpost I,Puesto avanzado I,Posto avançado I,Avant-poste I,Außenposten I,Форпост I,Karakol I
Outpost II,Outpost II,Puesto avanzado II,Posto avançado II,Avant-poste II,Außenposten II,Форпост II,Karakol II
Pipe Dream,Pipe Dream,Sueño de tuberías,Sonho de canos,Rêve de tuyaux,Rohrtraum,Трубные мечты,Boru Hayali
Pipes n' Locks I,Pipes n' Locks I,Tubos y candados I,Canos e cadeados I,Tuyaux et cadenas I,Rohre und Schlösser I,Трубы и замки I,Borular ve Kilitler I
Pipes n' Locks II,Pipes n' Locks II,Tubos y candados II,Canos e cadeados II,Tuyaux et cadenas II,Rohre und Schlösser II,Трубы и замки II,Borular ve Kilitler II
Planned Approach,Planned Approach,Plan de acción,Abordagem planejada,Approche planifiée,Geplantes Vorgehen,Продуманный подход,Planlı Yaklaşım
Potential Energy,Potential Energy,Energía potencial,Energia potencial,Énergie potentielle,Potenzielle Energie,Потенциальная энергия,Potansiyel Enerji
Prioritize,Prioritize,Prioridades,Prioridades,Priorités,Prioritäten,Расставьте приоритеты,Öncelikleri Belirle
Rainbow of Problems II,Rainbow of Problems II,Arcoíris de problemas II,Arco-íris de problemas II,Arc-en-ciel de problèmes II,Regenbogen der Probleme II,Радуга проблем II,Sorunlar Gökkuşağı II
Rainbow of Problems III,Rainbow of Problems III,Arcoíris de problemas III,Arco-íris de problemas III,Arc-en-ciel de problèmes III,Regenbogen der Probleme III,Радуга проблем III,Sorunlar Gökkuşağı III
Simple Logic,Simple Logic,Lógica simple,Lógica simples,Logique simple,Einfache Logik,Простая логика,Basit Mantık
Simple Plumbing,Simple Plumbing,Fontanería sencilla,Encanamento simples,Plomberie simple,Einfache Rohrleitungen,Простая сантехника,Basit Tesisat
Sizzle,Sizzle,Chisporroteo,Chiado,Grésillement,Zischen,Шипение,Cızırtı
Slow and Steady,Slow and Steady,Lento pero seguro,Devagar e sempre,Lentement mais sûrement,Langsam und stetig,Тише едешь,Yavaş ve Kararlı
Spinal Columns,Spinal Columns,Columnas vertebrales,Colunas vertebrais,Colonnes vertébrales,Wirbelsäulen,Позвоночные столбы,Omurgalar
Squeezed Play,Squeezed Play,Juego apretado,Jogo apertado,Jeu à l’étroit,Enges Spiel,Игра в тесноте,Sıkışık Oyun
Stained Glass,Stained Glass,Vidriera,Vitral,Vitrail,Buntglas,Витраж,Vitray
Sunken City I,Sunken City I,Ciudad hundida I,Cidade submersa I,Cité engloutie I,Versunkene Stadt I,Затонувший город I,Batık Şehir I
Sunken City II,Sunken City II,Ciudad hundida II,Cidade submersa II,Cité engloutie II,Versunkene Stadt II,Затонувший город II,Batık Şehir II
Teleport Tantrum,Teleport Tantrum,Rabieta teletransportadora,Revolta do teletransporte,Caprice de téléportation,Teleportationschaos,Капризы телепорта,Işınlanma Krizi
Terrarium,Terrarium,Terrario,Terrário,Terrarium,Terrarium,Террариум,Teraryum
The Billboard,The Billboard,La valla publicitaria,O outdoor,Le panneau publicitaire,Die Werbetafel,Рекламный щит,İlan Panosu
The Fourth Element,The Fourth Element,El cuarto elemento,O quarto elemento,Le quatrième élément,Das vierte Element,Четвёртый элемент,Dördüncü Element
The Holder Technique,The Holder Technique,Técnica de sujeción,Técnica de sustentação,Technique de maintien,Die Haltetechnik,Техника удержания,Tutucu Tekniği
The Leak,The Leak,La fuga,O vazamento,La fuite,Das Leck,Утечка,Sızıntı
The Swing,The Swing,El columpio,O balanço,La balançoire,Die Schaukel,Качели,Salıncak
The Vertical Vat,The Vertical Vat,La cuba vertical,O tanque vertical,La cuve verticale,Der senkrechte Tank,Вертикальный чан,Dikey Kazan
The end is here,The end is here,El final ha llegado,O fim chegou,La fin est arrivée,Das Ende ist da,Вот и конец,Son Geldi
